"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.306560875E0,4.931195526E0,-9.281149750E0,3.201841736E-1,1.051470151E1
2.316641875E0,3.050057373E0,-9.567354584E0,1.179098053E0,1.011075645E1
2.326721875E0,2.457888794E0,-9.382489014E0,1.507365417E0,9.815521785E0
2.336802875E0,2.815195770E0,-8.981023865E0,1.494043121E0,9.529757695E0
2.346882875E0,2.881956940E0,-8.986412659E0,1.318458252E0,9.528883483E0
2.356962875E0,2.963986359E0,-9.288334808E0,1.197958832E0,9.823109691E0
2.367043875E0,3.131937103E0,-9.492360535E0,1.015488281E0,1.004714661E1
2.377123875E0,3.091670837E0,-9.362580414E0,9.174421692E-1,9.902426001E0
2.387203875E0,2.895877991E0,-9.179361420E0,9.629475403E-1,9.673368254E0
2.397284875E0,2.745291138E0,-9.150621185E0,9.502239990E-1,9.600698785E0
2.407364875E0,2.971770172E0,-9.021589508E0,1.070873108E0,9.558622517E0
2.417445875E0,4.369862823E0,-8.934919739E0,1.957928467E-1,9.948207209E0
2.427525875E0,3.389102325E0,-8.926537170E0,7.926017761E-1,9.581090648E0
2.437605875E0,3.654650116E0,-9.087153168E0,1.133592682E0,9.859911386E0
2.447686875E0,3.548820190E0,-9.084159393E0,1.296753387E0,9.838579469E0
2.457766875E0,2.802322540E0,-9.311835938E0,1.331032104E0,9.815036760E0
2.467846875E0,2.303559723E0,-9.619595947E0,1.468446350E0,9.999967413E0
2.477927875E0,2.354753265E0,-9.682914276E0,1.546883240E0,1.008447022E1
2.488007875E0,2.503543854E0,-9.490115204E0,1.294358368E0,9.899766765E0
2.498088875E0,2.624941406E0,-9.269773407E0,9.716294861E-1,9.683133804E0
2.508168875E0,3.195405121E0,-9.165140991E0,6.755451965E-1,9.729685739E0
2.518248875E0,3.547323303E0,-9.203610992E0,4.477189636E-1,9.873723218E0
2.528329875E0,3.583098907E0,-9.340426483E0,6.463558960E-1,1.002496587E1
2.538409875E0,3.851341095E0,-9.658365326E0,9.125024414E-1,1.043788818E1
2.548489875E0,3.439547424E0,-9.742789764E0,9.627978516E-1,1.037686940E1
2.558570875E0,2.195634155E0,-9.234297180E0,1.318907318E0,9.582931194E0
