"t","a_x","a_y","a_z","a_abs"
1.835293417E0,9.611512756E-1,-9.825567627E-1,1.894909515E0,2.340921109E0
1.845373417E0,9.415420532E-1,-6.822811890E-1,2.436782684E0,2.699984983E0
1.855452417E0,7.908055115E-1,-5.364843750E-1,2.693349152E0,2.857852077E0
1.865531417E0,5.786965942E-1,-6.367758179E-1,2.425106964E0,2.573230844E0
1.875610417E0,2.869532776E-1,-9.753717041E-1,1.644330597E0,1.933265439E0
1.885690417E0,-7.110214233E-2,-1.381926270E0,6.048921204E-1,1.510188798E0
1.895769417E0,-3.073109436E-1,-1.646276550E0,-9.041198730E-2,1.677152594E0
1.905848417E0,-4.007167053E-1,-1.535057831E0,-6.920109558E-1,1.730854004E0
1.915928417E0,-3.725752258E-1,-1.234333191E0,-1.302591248E0,1.832794228E0
1.926007417E0,-3.426374817E-1,-5.912704468E-1,-1.409618683E0,1.566533120E0
1.936086417E0,-4.388873291E-1,3.893403625E-1,-8.813671875E-1,1.058780489E0
1.946166208E0,-6.393205261E-1,1.559756470E0,4.909790039E-2,1.686410859E0
1.956245208E0,-7.200027466E-1,2.768642578E0,5.516029358E-1,2.913426072E0
1.966324208E0,-4.574487305E-1,3.965254211E0,5.273533630E-1,4.026239172E0
1.976403208E0,-1.273851013E-1,5.507347412E0,4.340972900E-1,5.525897478E0
1.986483208E0,1.772314453E-1,7.888445892E0,-8.532257080E-3,7.890441203E0
1.996562208E0,4.245172119E-1,1.096020813E1,-1.225800934E0,1.103670988E1
2.006641208E0,3.966751099E-1,1.491842697E1,-3.068618774E0,1.523591926E1
2.016721208E0,2.580633545E-1,1.995739838E1,-4.653073883E0,2.049427830E1
2.026800208E0,-1.237925720E-1,2.641856232E1,-5.754782867E0,2.703836691E1
2.036879208E0,-9.101074219E-1,3.356350433E1,-4.390968933E0,3.386174430E1
2.046958208E0,-2.251917114E0,3.920766724E1,-6.349795532E-1,3.927741717E1
2.057038208E0,-2.613864441E0,4.038377151E1,3.798500977E0,4.064615478E1
2.067117208E0,-2.531685333E0,3.880710022E1,6.015839996E0,3.935213830E1
2.077196208E0,-2.295626221E0,3.721725632E1,2.720442810E0,3.738709505E1
2.087276208E0,-2.628833313E0,3.578159180E1,3.348536682E-1,3.587959313E1
2.097355208E0,-4.003275146E0,3.401122330E1,2.910996552E0,3.436951299E1
2.107434208E0,-4.512665863E0,3.151576263E1,5.311853943E0,3.227728675E1
2.117514208E0,-3.054248657E0,2.774495407E1,5.512885895E0,2.845176308E1
2.127593208E0,-2.169139252E0,2.258159134E1,2.496957550E0,2.282253775E1
2.137672208E0,-2.779569855E0,1.591415634E1,4.821473694E-1,1.616226614E1
2.147751208E0,1.389111328E-1,1.293445267E1,-8.020321655E-1,1.296003926E1
2.157831208E0,-8.701405334E-1,8.454868011E0,-2.569556580E0,8.879445853E0
2.167910208E0,-1.304537201E0,2.754272461E0,-2.311792603E0,3.825208378E0
2.177989208E0,-1.027463379E0,-2.660866699E0,-1.441053314E0,3.195704498E0
2.188069208E0,-1.216969299E0,-4.651127930E0,-1.020877075E-1,4.808786457E0
2.198148208E0,-5.309458923E-1,-5.869294739E0,2.179467773E-1,5.897289638E0
2.208227208E0,6.893165588E-1,-7.031477966E0,-1.151405640E0,7.158391904E0
2.218307208E0,1.103056183E0,-7.292684784E0,-3.112776947E0,8.005583341E0
2.228386208E0,9.553134155E-1,-6.334676971E0,-3.422482910E0,7.263204893E0
2.238465208E0,7.791297913E-1,-4.534819794E0,-1.995350647E0,5.015282444E0
2.248544208E0,8.032296753E-1,-2.839145966E0,-1.863624573E-1,2.956460500E0
2.258624208E0,7.475454712E-1,-1.275497589E0,1.389859772E0,2.029144775E0
2.268703208E0,5.246589661E-1,2.667453003E-1,2.789898376E0,2.851307251E0
2.278782208E0,3.496728516E-1,1.385668488E0,3.745062103E0,4.008470833E0
2.288862208E0,2.983296204E-1,1.698218536E0,3.571273499E0,3.965720762E0
2.298941208E0,1.109193420E-1,1.127754822E0,2.368374939E0,2.625515928E0
2.309020208E0,-3.263214111E-2,3.532653809E-1,1.215921478E0,1.266620041E0
2.319100208E0,-1.577719116E-1,-1.869612122E-1,1.966909790E-1,3.139009592E-1
2.329179208E0,-4.363426208E-1,-5.752537537E-1,-5.722599792E-1,9.212997600E-1
