"t","a_x","a_y","a_z","a_abs"
1.520124888E1,-3.420087891E0,-7.637747223E1,1.056113800E1,7.718000325E1
1.521132888E1,-8.733887787E0,-7.821969131E1,3.974834290E0,7.880609249E1
1.522140888E1,-1.414977539E1,-5.813805130E1,-1.429826660E0,5.985226443E1
1.523148887E1,-6.594686279E0,-3.279724777E1,-3.508254547E0,3.363714017E1
1.524156888E1,-1.223405914E0,-2.091211304E1,3.628454590E-1,2.095101073E1
1.525164888E1,6.571334839E-1,-1.349743195E1,4.319118347E0,1.418686987E1
1.526172887E1,1.105002136E0,-9.411378937E0,4.737797699E0,1.059442354E1
1.527180888E1,7.099736023E-1,-7.551197205E0,3.396586761E0,8.310321496E0
1.528188888E1,-6.399192810E-1,-6.518195343E0,2.337988129E0,6.954319212E0
1.529196788E1,-2.329455872E0,-5.513634338E0,1.489253082E0,6.168014512E0
1.530204788E1,-3.299588470E0,-3.874243469E0,1.109642487E0,5.208488551E0
1.531212787E1,-3.856879578E0,-1.034498749E0,4.692741394E-1,4.020687249E0
1.532220788E1,-3.805236969E0,3.288511505E0,6.541397095E-2,5.029753006E0
1.533228788E1,-2.207609253E0,6.592291260E0,4.417314148E-1,6.966130153E0
1.534236788E1,-8.888516235E-1,8.057594147E0,5.530998230E-1,8.125318459E0
1.535244788E1,-9.912387085E-1,7.845485229E0,1.028810577E0,7.974499600E0
1.536252787E1,-1.309327240E0,6.829697571E0,1.187181244E0,7.054679726E0
1.537260788E1,-1.057251434E0,6.641239471E0,4.628375244E-1,6.740775985E0
1.538268788E1,-3.469784546E-1,6.258186035E0,-3.332070923E-1,6.276648267E0
1.539276787E1,2.246827698E-1,5.572462006E0,-6.590794373E-1,5.615799218E0
1.540284788E1,5.185217285E-1,4.565206604E0,-7.948471069E-2,4.595246886E0
1.541292788E1,1.363664246E-1,2.421364746E0,3.841012573E-1,2.455430066E0
1.542300788E1,-8.759783936E-1,-2.406994629E-1,2.091151428E-1,9.322035831E-1
1.543308788E1,-1.646426239E0,-1.610800323E0,-2.691403198E-1,2.319015643E0
1.544316787E1,-1.986519012E0,-2.405198364E0,-7.884104919E-1,3.217581089E0
1.545324788E1,-1.964365082E0,-3.053949280E0,-9.542655945E-1,3.754458577E0
1.546332788E1,-9.042695618E-1,-3.436254272E0,-8.232879639E-1,3.647375760E0
1.547340787E1,9.461824036E-1,-3.125051422E0,-4.266128540E-1,3.292902376E0
1.548348788E1,1.902543640E0,-1.456920319E0,-2.691403198E-1,2.411374220E0
1.549356788E1,2.131417694E0,4.819976807E-2,-5.771997070E-1,2.208715488E0
1.550364788E1,2.296823730E0,8.425978088E-1,-5.629792786E-1,2.510441392E0
1.551372788E1,2.633174286E0,1.472038879E0,-2.710862732E-1,3.028860025E0
1.552380787E1,3.092568970E0,1.925296326E0,-7.185058594E-2,3.643612394E0
1.553388788E1,3.542084198E0,2.190095673E0,5.287005615E-1,4.197904692E0
1.554396788E1,4.086502075E0,2.055525513E0,1.678309937E0,4.872515632E0
1.555404688E1,4.543352051E0,1.248403931E0,2.049238586E0,5.138087097E0
1.556412688E1,3.630849609E0,-9.587562561E-1,2.412982178E0,4.463716550E0
1.557420687E1,8.199948120E-1,-4.195625153E0,5.187911682E0,6.722357439E0
1.558428688E1,-2.488125916E0,-7.486681366E0,3.034190369E0,8.452661098E0
1.559436688E1,-8.734935608E0,-1.326990509E1,-3.387455750E-1,1.589038167E1
1.560444687E1,-1.670900345E1,-2.915861435E1,9.357191620E0,3.488513469E1
1.561452688E1,-2.105401794E1,-5.710280411E1,1.987731491E1,6.402428880E1
1.562460688E1,-1.985366409E1,-7.832881439E1,1.365235977E1,8.195094917E1
1.563468688E1,-1.238434662E1,-7.846877335E1,5.366340637E0,7.962109044E1
1.564476688E1,-7.721692657E0,-6.494559494E1,-1.069525909E0,6.541176290E1
1.565484687E1,-5.984704742E0,-3.651252182E1,-5.267546082E0,3.737282411E1
1.566492688E1,-4.643344116E-1,-2.158646072E1,-1.377884674E0,2.163537518E1
1.567500688E1,4.699627075E0,-1.331136887E1,2.975213013E0,1.442674351E1
1.568508687E1,6.715036011E0,-8.260272675E0,4.937781830E0,1.173479879E1
1.569516688E1,5.853427734E0,-5.489983521E0,3.998185730E0,8.965936896E0
1.570524688E1,3.483705597E0,-3.420836334E0,2.075134735E0,5.305139968E0
1.571532688E1,3.791615295E-1,-1.012644196E0,1.257385254E0,1.658381563E0
1.572540688E1,-2.243684235E0,1.040785675E0,6.381230164E-1,2.554320800E0
1.573548687E1,-3.826193390E0,2.426903229E0,-6.939569092E-1,4.583796607E0
1.574556688E1,-3.581602020E0,4.712649994E0,-8.511300659E-1,5.980080717E0
1.575564688E1,-2.582579498E0,6.911277924E0,5.733078003E-2,7.378263090E0
1.576572687E1,-2.093995514E0,7.943830719E0,7.511380005E-1,8.249452830E0
1.577580688E1,-2.623893585E0,7.434889069E0,1.488205261E0,8.023537120E0
1.578588688E1,-3.232078857E0,6.748117218E0,1.734592896E0,7.680640093E0
1.579596688E1,-2.801574097E0,5.860762482E0,1.135239258E0,6.594400842E0
1.580604588E1,-1.830842743E0,5.021158447E0,4.490661621E-3,5.344533419E0
1.581612587E1,-5.384303284E-1,4.077371063E0,-1.080752563E-1,4.114187923E0
1.582620588E1,-2.035766602E-2,1.580263824E0,8.408015442E-1,1.790138382E0
1.583628588E1,-7.635621643E-1,-8.352630615E-1,8.422984314E-1,1.410729672E0
1.584636588E1,-1.487756195E0,-2.249222717E0,2.130070496E-1,2.705142017E0
1.585644588E1,-1.804048462E0,-2.975213013E0,-1.704954529E-1,3.483611922E0
1.586652587E1,-1.615889740E0,-3.413351898E0,-3.287164307E-1,3.790794814E0
1.587660588E1,-8.418493652E-1,-3.581003265E0,-5.069956970E-1,3.713399975E0
1.588668588E1,3.067121887E-1,-2.891686707E0,-1.069226532E0,3.098252693E0
1.589676587E1,1.392404480E0,-1.317260742E0,-1.535656586E0,2.456055221E0
1.590684588E1,2.162552948E0,-2.484832764E-2,-1.427132263E0,2.591130871E0
1.591692588E1,2.362537079E0,7.047344971E-1,-1.153950348E0,2.722100947E0
1.592700588E1,2.308200073E0,1.178050232E0,-8.851094055E-1,2.738431775E0
1.593708588E1,2.436632996E0,1.492845612E0,-8.126600647E-1,2.970889556E0
1.594716587E1,2.868634644E0,1.857786713E0,-5.209167480E-1,3.457136163E0
1.595724588E1,3.571872253E0,2.183958435E0,1.965412903E-1,4.191249732E0
